srr	gsm	title	group	n_reads	mean_len	median_len	p25	p75	iqr	n50	frac_lt_100	frac_lt_200	frac_gt_500	frac_gt_1000	q10_n_reads	q10_mean_len	q10_median_len	q10_p25	q10_p75	q10_iqr	q10_n50	q10_frac_lt_100	q10_frac_lt_200	q10_frac_gt_500	q10_frac_gt_1000	mean_qual	frac_q10	mean_len_resid	median_len_resid	frac_lt_100_resid
SRR29689517	GSM8375962	B09	control	477414	234.61391580473133	80.0	40.0	219.0	179.0	596	0.5761477459814752	0.727178088619102	0.08906106649574583	0.03466174012492302	392524	246.6682113705149	81.0	40.0	243.0	203.0	603	0.5580270250991022	0.6984235358857038	0.09849843576443733	0.037518724969683385	17.733788	0.8221878704855744	-73.07452350744069	-24.62094157643888	0.05513576042371193
SRR29689491	GSM8375988	D12	control	1174115	345.9145168914459	114.0	45.0	248.0	203.0	3357	0.4655259493320501	0.668167087551049	0.1007541850670505	0.061044275901423625	709044	341.34610969135906	135.0	45.0	267.0	222.0	1723	0.4251259442291311	0.6276310073845911	0.10056639644366216	0.056550792334467255	13.092581	0.6038965518709837	46.851457588561686	10.30700035768794	-0.0428316101298693
SRR29689527	GSM8375952	A11	control	1032519	414.70392506094316	102.0	41.0	290.0	249.0	3513	0.49414005940810773	0.6426167460356662	0.13973108485170732	0.08121012785236882	873415	430.53685704962703	117.0	40.0	305.0	265.0	3528	0.4662605977685293	0.6138559562178346	0.14826972286942633	0.08499625035063516	18.406656	0.8459069518333319	114.40907027815626	-1.8255195636185846	-0.016024685922589488
SRR29689528	GSM8375951	A10	control	1275851	311.25527589036653	45.0	40.0	126.0	86.0	3539	0.7000833169390469	0.8183079372121039	0.08112467678435804	0.0654559192256776	1036584	333.7706852507853	45.0	40.0	147.0	107.0	3543	0.6801928256658408	0.7983646284333927	0.08895854074537134	0.07133044692953007	18.46383	0.8124647784106451	12.988715515469266	-58.60731011269479	0.19289431315917005
SRR29689529	GSM8375950	A09	control	1688225	357.8772870914718	141.0	43.0	339.0	296.0	837	0.43186482844407587	0.5756703046098713	0.15667639088391655	0.060529254098239275	1454665	371.28473016123985	167.0	45.0	357.0	312.0	811	0.40086067926292307	0.544215334802171	0.1653226000488085	0.0625339854880677	18.41147	0.8616535118245494	62.29513454964507	37.68148581211342	-0.07138583980761365
SRR29689526	GSM8375953	A12	control	912168	379.0211123389551	45.0	40.0	122.0	82.0	3546	0.7076766560545864	0.8167738837582551	0.10201300637601846	0.08618807061857027	725122	414.1471049009684	45.0	40.0	142.0	102.0	3548	0.68923574239921	0.7942139391716153	0.11475172453738819	0.0967147597231914	18.415026	0.7949434753247209	77.53836777593636	-58.95331598986425	0.1957691395743555
SRR29689530	GSM8375949	A08	barretts	2860230	209.82762330302108	90.0	44.0	199.0	155.0	384	0.543379728203676	0.7508011593473252	0.05409774738395164	0.02369005289784388	2392521	220.09849025358608	96.0	45.0	213.0	168.0	388	0.5134161831808373	0.7249558102102344	0.058643581393851923	0.025173028784282354	16.906578	0.8364785349429941	-80.70109925021598	-12.774852390662915	0.047543023887751557
SRR29689532	GSM8375947	A06	barretts	2958717	227.31606605160277	103.0	59.0	212.0	153.0	365	0.4871476386555389	0.7242189773472759	0.0489668325831771	0.024864831614513992	2493422	235.8606200635111	111.0	66.0	221.0	155.0	366	0.46156446842933124	0.6992518715243549	0.05211913587030194	0.026084633888687914	16.506592	0.8427375784841876	-62.88816990480899	0.2600567634766122	-0.008213006442797877
SRR29689531	GSM8375948	A07	barretts	1854228	258.8248219744282	123.0	49.0	271.0	222.0	460	0.4365045722532504	0.6355448197309069	0.09095753057337069	0.03007936456573841	1597073	267.53085175192365	139.0	59.0	285.0	226.0	457	0.41015845863025674	0.6093265617789544	0.09587476589986807	0.030976667941916242	18.041546	0.8613142504589512	-35.85834893088344	19.778200711356604	-0.06542718637723383
SRR29689495	GSM8375984	D08	barretts	2956285	276.02856591972693	128.0	77.0	235.0	158.0	503	0.364476699641611	0.6927769142690912	0.07334171096494418	0.034737516849694804	1679147	280.57930246726465	135.0	84.0	245.0	161.0	479	0.33310782200724537	0.6758794792832313	0.0747296097363721	0.03459554166490486	11.896057	0.567992260556746	-14.183551910538199	25.25920880996499	-0.13089550907364078
SRR29689521	GSM8375958	B05	barretts	354026	235.54192912384966	46.0	40.0	173.0	133.0	901	0.6374983758255044	0.7748724669939496	0.07829650929592742	0.039649630253145246	295197	241.56109310053964	45.0	40.0	188.0	148.0	906	0.6382923945704055	0.7599738479727097	0.08390667926842076	0.0419109950304373	18.994205	0.8338285888607051	-75.01254754025135	-58.92927770084904	0.11228158331212168
SRR29689520	GSM8375959	B06	barretts	575973	205.65129268212226	86.0	40.0	204.0	164.0	401	0.5542273682967778	0.7430035782927324	0.060270186276092805	0.023756321910922907	470196	215.40567550553385	89.0	40.0	222.0	182.0	409	0.5340496303669108	0.7136130464742363	0.0669827050846881	0.02582114692596279	16.227324	0.816350766442177	-100.23827054182257	-18.427413574801093	0.03585454118647302
SRR29689519	GSM8375960	B07	barretts	218429	231.9698391697073	46.0	40.0	119.0	79.0	1646	0.6909522087268631	0.8373933864093138	0.07610253217292576	0.04516799509222676	172986	243.40569179008705	45.0	40.0	121.0	81.0	1668	0.6909229648642087	0.8218699779172881	0.08565433040824114	0.05037979952134855	17.535135	0.7919552806632819	-83.21330929801235	-59.42724285267576	0.15894462146614907
SRR29689518	GSM8375961	B08	barretts	705075	171.47869659256108	96.0	54.0	183.0	129.0	224	0.5137368365067546	0.8001758678154807	0.02890330815870652	0.014754458745523526	602280	174.8389835292555	100.0	63.0	188.0	125.0	223	0.4969017732616059	0.7884472338447234	0.0301720130172013	0.015210533306767617	16.764305	0.8542069992553983	-132.47236963193083	-8.21886477428049	-0.0017919921953435392
SRR29689533	GSM8375946	A05	barretts	1845662	206.90982964378094	86.0	43.0	161.0	118.0	446	0.5883325332590691	0.80461482113193	0.047087711617836855	0.025694845535097977	1533597	213.51790463857193	87.0	42.0	174.0	132.0	452	0.5723002848857947	0.7879658084881491	0.050148115834864046	0.02697383993317671	17.440725	0.8309197458689619	-87.81772366469664	-17.226574068767945	0.08633566053039854
SRR29689496	GSM8375983	D07	barretts	1316853	432.14488481250373	119.0	66.0	286.0	220.0	3430	0.44164382812660186	0.6353814738623066	0.1343612384981467	0.08550233017656489	715830	432.8890812064317	155.0	76.0	307.0	231.0	3495	0.3857340429990361	0.5773535615998212	0.1375647849349706	0.08142994845144796	11.999236	0.5435914259222555	134.18151040247398	15.425307461294565	-0.06510036691654897
SRR29689497	GSM8375982	D06	barretts	2171946	308.46984179164673	83.0	45.0	162.0	117.0	3446	0.605130606377875	0.7918815661162847	0.07947343073906994	0.05857097736315728	1052048	338.28537481179563	88.0	45.0	208.0	163.0	3514	0.5662222636229526	0.738961530272383	0.09195112770519977	0.06501984700317856	10.983499	0.4843803667310329	15.302582897777086	-20.058713335056567	0.10542286529745093
SRR29689507	GSM8375972	C08	barretts	6852276	278.798402603748	157.0	84.0	274.0	190.0	411	0.32699602292727264	0.6020595200777085	0.08160427279928596	0.029243568122474927	5639945	288.42398675873613	171.0	88.0	286.0	198.0	409	0.29884954551861764	0.5720103653493075	0.08558629561103875	0.03030153662846003	15.907098	0.8230761574694306	-3.3561341620300027	55.126065383160906	-0.1565547861531772
SRR29689525	GSM8375954	B01	cancer	293307	240.32808968077816	87.0	40.0	193.0	153.0	689	0.5547225262267863	0.7614444933124678	0.07214965888983216	0.03801477632651113	244546	249.74079314321233	89.0	40.0	205.0	165.0	697	0.5397757477120869	0.7402206537829283	0.07854146050231858	0.04076942579310232	17.442808	0.8337543938603579	-72.02980413452022	-18.123294242441133	0.02685991300344881
SRR29689499	GSM8375980	D04	cancer	2102915	309.7927747911827	92.0	56.0	200.0	144.0	3408	0.5393760565690957	0.749628016348735	0.07526695087533257	0.05454286074330156	1096600	330.26096388838226	105.0	67.0	232.0	165.0	3482	0.48162228706912275	0.6922049972642714	0.08246215575414918	0.057531460879080794	11.565071	0.521466630843377	16.315930333638732	-11.092019395360495	0.039214117803278326
SRR29689498	GSM8375981	D05	cancer	1384183	348.7662686219958	99.0	69.0	215.0	146.0	3412	0.5010645268725306	0.7253621811566823	0.09302743929090301	0.06502319418747377	718142	353.0832899343027	110.0	75.0	238.0	163.0	3487	0.4596723210729911	0.6846306162291024	0.0954170623637108	0.06377568781661566	11.61917	0.5188201271074706	51.28085140342847	-4.523272598923313	-0.0049784499112710545
SRR29689535	GSM8375944	A03	cancer	1525585	208.41294847550284	92.0	45.0	198.0	153.0	361	0.5324449309609101	0.7523376278607878	0.046774843748463704	0.0222511364492965	1299794	213.92546818957464	96.0	45.0	208.0	163.0	359	0.5147246409815709	0.7327161073216217	0.049284732811507054	0.02310673845240092	17.138758	0.851997102750748	-88.14015907712411	-11.422972179268044	0.027769759856786203
SRR29689536	GSM8375943	A02	cancer	2519440	226.21737330517894	81.0	40.0	173.0	133.0	608	0.5959756930111453	0.7809957768392977	0.059719223319467815	0.030934255231321248	2100094	237.256422807741	84.0	40.0	194.0	154.0	610	0.5720791545521295	0.7568508838175815	0.06522279478918562	0.03314661153262664	18.03678	0.8335558695583145	-65.52735024801305	-21.905673098687757	0.09835497514801117
SRR29689500	GSM8375979	D03	cancer	937749	398.105874812983	106.0	47.0	215.0	168.0	3477	0.4733718724306824	0.7210735495319109	0.10435521658780761	0.08100888404039887	555022	395.665301555614	113.0	48.0	224.0	176.0	3520	0.4516956084623673	0.7017217335529042	0.10397605860668586	0.07943829253615171	12.402918	0.5918662669861552	96.88823269847592	2.075204455443526	-0.038146708218442515
SRR29689501	GSM8375978	D02	cancer	1529064	370.3411956595669	125.0	72.0	267.0	195.0	3350	0.4250070631445119	0.6420712278884337	0.10570780555947952	0.06527457320295292	909603	371.9037580131112	157.0	79.0	289.0	210.0	1824	0.37280879680475987	0.5888766857629097	0.10735892471770651	0.062199662929871606	12.615921	0.5948756886565899	73.8099211405368	21.579376678104268	-0.07963607638421438
SRR29689508	GSM8375971	C07	cancer	3426123	392.39937532890673	152.0	77.0	296.0	219.0	2617	0.37772374196723235	0.5864961649070977	0.12156218559578859	0.06781805556893317	2743927	413.22207478551724	179.0	81.0	312.0	231.0	2459	0.3419026818133281	0.5417505640638399	0.13032052237541306	0.07179345514658371	16.180328	0.8008839729338381	103.60100125460497	49.41130322364366	-0.11557434179827403
SRR29689534	GSM8375945	A04	cancer	2473601	183.59787451573638	95.0	47.0	213.0	166.0	282	0.5153789960466543	0.7207831820895932	0.03163525564551437	0.01157179351075618	2094728	190.08544975767737	104.0	58.0	224.0	166.0	285	0.48665459190883015	0.6923829728728503	0.033804866311998506	0.011971960082645575	17.427696	0.8468334222051171	-108.32284511337687	-7.9246072371156515	0.017500071665835615
SRR29689509	GSM8375970	C06	cancer	9120557	253.1797106251296	122.0	75.0	230.0	155.0	383	0.41775036327276943	0.673301531913018	0.05608396504731016	0.029120918821076387	7164987	268.61509448656363	143.0	78.0	247.0	169.0	388	0.37938435896673645	0.6314096592219917	0.06127073224278006	0.03145755882041377	15.13069	0.7855865601190805	-26.23400363651257	20.420930552329963	-0.06177934345821107
SRR29689510	GSM8375969	C04	cancer	4790251	265.4675137064843	108.0	68.0	235.0	167.0	502	0.4659119115052635	0.6884286439270092	0.06931536572926972	0.03433995421116764	3659155	286.5396614792213	126.0	73.0	262.0	189.0	510	0.4205940989108141	0.6381596297505845	0.07853780449311384	0.03832988763799292	15.038577	0.763875421141815	-20.11842383216964	5.756905918126549	-0.022673157797787835
SRR29689511	GSM8375968	C03	cancer	3236442	408.90629710033426	150.0	71.0	310.0	239.0	2496	0.36632357385054326	0.5893317414617657	0.13863124999613774	0.0748649288323412	2649052	427.7312714133207	171.0	76.0	329.0	253.0	2309	0.3413451302579187	0.553140897196431	0.14864449621977976	0.07921815049308205	16.528189	0.8185074844536068	119.56201368140114	47.352572805671386	-0.12777542181092938
SRR29689512	GSM8375967	C02	cancer	3364186	365.10815602942284	114.0	68.0	243.0	175.0	3454	0.4488931349217909	0.6737145330252251	0.0935355536227783	0.06710598046600277	2635644	393.5582813915688	133.0	72.0	268.0	196.0	3510	0.4112125916853718	0.6276268722179474	0.10380574918312185	0.07401341000529661	15.792788	0.7834418192097583	76.13492075547862	11.392491178304752	-0.04466149036716416
SRR29689513	GSM8375966	C01	cancer	3723560	248.32201683335302	117.0	65.0	208.0	143.0	424	0.4453198014803038	0.7233650055323401	0.04998361782809999	0.03288868717034236	3034122	255.70134918767275	128.0	70.0	214.0	144.0	414	0.42208718041001647	0.7008202043292919	0.05221115037562761	0.034199020342623	16.55965	0.8148443962229694	-39.678399824563655	14.497149661425397	-0.04680758683266567
SRR29689522	GSM8375957	B04	cancer	638809	202.33945514230388	86.0	40.0	212.0	172.0	372	0.5425080110017235	0.7277668285825654	0.059144439104646306	0.02203632071558165	521836	214.00593673108025	93.0	40.0	230.0	190.0	381	0.514493059122023	0.6953468139415449	0.06582911106171288	0.023951969584313847	16.772478	0.8168889292417608	-102.55763497968664	-18.320640608415303	0.025591256262406437
SRR29689523	GSM8375956	B03	cancer	277560	228.5156326560023	73.0	40.0	174.0	134.0	962	0.5969412019022914	0.7956477878656867	0.06427799394725464	0.039011384925781815	232029	236.87083080132226	76.0	40.0	182.0	142.0	1001	0.5878618620948244	0.7818764033806119	0.06942235668817259	0.04169737403514216	17.154772	0.8359597924773022	-84.37118586971678	-32.180197407086254	0.068302595197962
SRR29689524	GSM8375955	B02	cancer	322818	259.1706534332038	95.0	41.0	246.0	205.0	606	0.5136454596707742	0.6903518391167779	0.09931602327007788	0.03916138505287809	271092	272.07967405899103	103.0	40.0	270.0	230.0	612	0.4921502663302495	0.6603920440293333	0.10919909108346981	0.04226609416729376	17.711803	0.839767299221233	-52.268340227032354	-10.024436454582556	-0.012869021170085926
SRR29689502	GSM8375977	D01	cancer	1694774	295.37481457704683	118.0	76.0	199.0	123.0	3318	0.4364086302952488	0.7507006833949541	0.06041159470230249	0.047969227755441136	1068561	279.33147943823514	123.0	78.0	202.0	124.0	1326	0.4212665444462225	0.7421906657645189	0.05455280512764363	0.04243370289576356	12.905963	0.630503536164704	-0.1702276665816953	14.68547823932812	-0.0667875928739704
SRR29689537	GSM8375942	A01	cancer	2397935	169.86256216286097	73.0	40.0	148.0	108.0	330	0.6486439373877941	0.8165425668335463	0.033187721935748885	0.017359519753454535	1998043	175.99139808302425	75.0	40.0	164.0	124.0	335	0.6314218462765816	0.7978727184550082	0.035704937281129584	0.01829340009199001	18.346682	0.8332348458152535	-122.35593406754901	-29.9566428570011	0.15032814042975295
